Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption)
Afghanistan,South Asia,3.572,7.725,0.484,52.560,0.578,0.061,0.823
Albania,Central and Eastern Europe,4.551,9.359,0.759,67.240,0.632,-0.127,0.863
Angola,Sub-Saharan Africa,3.937,9.005,0.722,53.900,0.410,-0.104,0.816
Argentina,Latin America and Caribbean,6.582,10.103,0.910,67.840,0.737,-0.130,0.823
Armenia,Commonwealth of Independent States,4.277,9.277,0.723,65.680,0.504,-0.195,0.900
Australia,North America and ANZ,7.364,10.762,0.928,72.500,0.933,0.269,0.432
Austria,Western Europe,7.499,10.883,0.950,71.820,0.922,0.168,0.679
Azerbaijan,Commonwealth of Independent States,5.481,9.592,0.770,64.120,0.672,-0.168,0.699
Bahrain,Middle East and North Africa,6.690,10.757,0.884,67.140,0.809,,0.525
Bangladesh,South Asia,4.660,8.116,0.530,61.960,0.742,-0.016,0.743
Belarus,Commonwealth of Independent States,5.876,9.839,0.923,64.040,0.723,-0.177,0.653
Belgium,Western Europe,7.104,10.784,0.909,71.160,0.891,0.017,0.574
Benin,Sub-Saharan Africa,3.479,7.964,0.577,52.540,0.783,-0.085,0.856
Bhutan,Southern Asia,5.569,9.123,0.819,59.600,0.810,0.353,0.802
Bolivia,Latin America and Caribbean,5.767,8.915,0.803,62.020,0.846,-0.067,0.812
Bosnia and Herzegovina,Central and Eastern Europe,5.124,9.382,0.767,66.820,0.390,0.042,0.970
Botswana,Sub-Saharan Africa,4.128,9.728,0.856,55.240,0.767,-0.154,0.749
Brazil,Latin America and Caribbean,7.140,9.668,0.910,65.280,0.785,-0.095,0.707
Bulgaria,Central and Eastern Europe,3.993,9.813,0.829,66.000,0.603,-0.191,0.962
Burkina Faso,Sub-Saharan Africa,3.326,7.546,0.745,51.320,0.741,-0.016,0.765
Cambodia,Southeast Asia,3.674,8.068,0.651,59.640,0.941,0.164,0.812
Cameroon,Sub-Saharan Africa,4.271,8.090,0.760,49.500,0.794,-0.030,0.867
Canada,North America and ANZ,7.594,10.757,0.936,72.680,0.916,0.316,0.406
Chad,Sub-Saharan Africa,3.508,7.498,0.714,46.060,0.488,-0.045,0.882
Chile,Latin America and Caribbean,6.740,10.053,0.862,69.320,0.737,0.085,0.741
China,East Asia,5.241,9.319,0.778,68.080,0.805,-0.158,
Colombia,Latin America and Caribbean,6.607,9.512,0.901,66.360,0.841,-0.071,0.898
Congo (Brazzaville),Sub-Saharan Africa,3.955,8.201,0.680,55.340,0.726,-0.078,0.752
Congo (Kinshasa),Sub-Saharan Africa,4.497,6.880,0.830,51.220,0.480,0.012,0.913
Costa Rica,Latin America and Caribbean,7.158,9.751,0.902,70.300,0.898,0.018,0.813
Croatia,Central and Eastern Europe,5.885,10.069,0.751,68.200,0.627,-0.204,0.936
Cyprus,Western Europe,5.439,10.414,0.744,72.820,0.656,0.102,0.867
Czech Republic,Central and Eastern Europe,6.698,10.420,0.888,68.520,0.726,-0.156,0.916
Denmark,Western Europe,7.589,10.851,0.965,71.060,0.920,0.215,0.170
Dominican Republic,Latin America and Caribbean,5.016,9.525,0.878,64.460,0.889,0.021,0.752
Ecuador,Latin America and Caribbean,6.019,9.377,0.801,67.280,0.787,-0.191,0.646
Egypt,Middle East and North Africa,3.559,9.239,0.675,60.480,0.474,-0.141,0.913
El Salvador,Latin America and Caribbean,6.325,8.974,0.827,64.800,0.716,-0.150,0.772
Estonia,Central and Eastern Europe,5.367,10.299,0.901,67.480,0.754,-0.201,0.726
Ethiopia,Sub-Saharan Africa,4.445,7.343,0.602,55.800,0.707,-0.008,0.750
Finland,Western Europe,7.445,10.722,0.941,71.120,0.919,0.040,0.306
France,Western Europe,6.667,10.669,0.908,72.800,0.878,-0.125,0.699
Gabon,Sub-Saharan Africa,3.800,9.638,0.733,56.840,0.682,-0.146,0.780
Georgia,Commonwealth of Independent States,4.349,9.371,0.559,64.980,0.722,-0.254,0.349
Germany,Western Europe,6.965,10.817,0.931,71.140,0.894,0.024,0.566
Ghana,Sub-Saharan Africa,4.965,8.445,0.676,55.240,0.794,-0.065,0.880
Greece,Western Europe,4.720,10.243,0.687,71.680,0.426,-0.272,0.941
Guatemala,Latin America and Caribbean,5.985,8.953,0.830,63.180,0.884,0.045,0.817
