Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption)
Afghanistan,South Asia,3.724,7.370,0.451,50.800,0.718,0.168,0.882
Argentina,Latin America and Caribbean,5.961,10.048,0.892,67.060,0.678,-0.132,0.865
Armenia,Commonwealth of Independent States,4.652,9.256,0.709,65.000,0.462,-0.215,0.876
Australia,North America and ANZ,7.254,10.719,0.947,71.880,0.916,0.305,0.431
Austria,Western Europe,7.181,10.887,0.935,71.080,0.879,0.291,0.614
Azerbaijan,Commonwealth of Independent States,4.817,9.465,0.684,62.640,0.601,-0.029,0.715
Bangladesh,South Asia,5.052,7.886,0.467,59.860,0.606,-0.044,0.802
Belarus,Commonwealth of Independent States,5.463,9.677,0.904,61.700,0.640,-0.220,0.696
Belgium,Western Europe,7.117,10.789,0.923,70.440,0.887,0.007,0.652
Benin,Sub-Saharan Africa,3.667,7.915,0.382,50.900,0.709,-0.004,0.825
Bolivia,Latin America and Caribbean,5.298,8.756,0.785,60.000,0.726,-0.092,0.801
Botswana,Sub-Saharan Africa,5.451,9.590,0.832,49.860,0.858,-0.164,0.806
Brazil,Latin America and Caribbean,6.691,9.555,0.878,64.020,0.782,-0.078,0.688
Burkina Faso,Sub-Saharan Africa,3.846,7.403,0.727,48.180,0.612,-0.101,0.887
Burundi,Sub-Saharan Africa,3.563,6.719,0.291,49.020,0.260,-0.019,0.860
Cambodia,Southeast Asia,4.462,7.879,0.619,56.900,0.914,0.045,0.888
Cameroon,Sub-Saharan Africa,4.292,8.034,0.697,47.140,0.580,-0.069,0.945
Canada,North America and ANZ,7.486,10.738,0.939,71.840,0.926,0.262,0.370
Chad,Sub-Saharan Africa,4.632,7.356,0.571,44.140,0.527,0.063,0.944
Chile,Latin America and Caribbean,5.789,9.911,0.804,68.780,0.640,0.084,0.741
China,East Asia,4.846,8.911,0.748,67.240,0.853,-0.092,
Colombia,Latin America and Caribbean,6.168,9.351,0.880,65.460,0.795,-0.042,0.763
Congo (Brazzaville),Sub-Saharan Africa,3.820,8.082,0.555,52.200,0.526,-0.098,
