Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption)
Afghanistan,South Asia,4.758,7.647,0.539,51.600,0.600,0.121,0.707
Albania,Central and Eastern Europe,5.269,9.303,0.733,66.400,0.569,-0.172,0.726
Algeria,Middle East and North Africa,5.464,9.287,,64.500,0.593,-0.205,0.618
Argentina,Latin America and Caribbean,6.441,10.066,0.927,67.300,0.730,-0.126,0.855
Armenia,Commonwealth of Independent States,4.368,9.136,0.660,65.200,0.459,-0.176,0.891
Australia,North America and ANZ,7.450,10.722,0.955,72.200,0.932,0.317,0.366
Austria,Western Europe,7.303,10.861,0.914,71.400,0.896,0.131,0.546
Azerbaijan,Commonwealth of Independent States,4.219,9.569,0.687,63.400,0.501,-0.123,0.858
Bahrain,Middle East and North Africa,5.937,10.706,0.877,66.300,0.862,-0.001,0.715
Bangladesh,South Asia,4.858,7.967,0.549,60.700,0.659,-0.016,0.774
Belarus,Commonwealth of Independent States,5.526,9.758,0.918,62.300,0.700,-0.163,0.706
Belgium,Western Europe,6.854,10.779,0.931,70.800,0.807,0.022,0.697
Bolivia,Latin America and Caribbean,5.781,8.797,0.807,61.000,0.703,-0.068,0.781
Bosnia and Herzegovina,Central and Eastern Europe,4.669,9.312,0.773,66.700,0.365,-0.128,0.933
Botswana,Sub-Saharan Africa,3.553,9.556,0.866,52.900,0.826,-0.143,0.814
Brazil,Latin America and Caribbean,6.837,9.607,0.906,64.500,0.806,-0.054,0.656
Bulgaria,Central and Eastern Europe,3.912,9.765,0.843,65.700,0.545,-0.144,0.941
Burkina Faso,Sub-Saharan Africa,4.036,7.453,0.773,49.700,0.587,-0.036,0.767
Cambodia,Southeast Asia,4.141,7.907,0.697,58.500,0.940,0.350,0.896
Cameroon,Sub-Saharan Africa,4.554,8.035,0.759,48.300,0.792,0.002,0.875
Canada,North America and ANZ,7.650,10.717,0.954,72.200,0.934,0.230,0.413
Central African Republic,Sub-Saharan Africa,3.568,7.091,0.483,42.700,0.690,-0.036,0.845
Chad,Sub-Saharan Africa,3.743,7.457,0.734,45.100,0.505,0.025,0.858
Chile,Latin America and Caribbean,6.636,9.931,0.857,68.900,0.786,0.108,0.702
China,East Asia,4.653,9.092,0.768,67.600,0.805,-0.133,
Colombia,Latin America and Caribbean,6.408,9.384,0.893,65.700,0.816,-0.050,0.815
Comoros,Sub-Saharan Africa,3.812,7.965,0.721,54.700,0.529,0.005,0.741
